grower_id,location,gender,loan_amount,hectarage,yields,merchant_contractor,side_marketer_effect,yield_per_ha,loan_per_ha,grade_normally_produced,mass_usually_produced_kg,default_level,default_prob
G02416,Mashonaland Central,M,1871.18,2.34,1211.52,Premium Leaf Zimbabwe,0.2,517.1,798.6,A3,1173.8,0,0.378527
G02417,Masvingo,M,685.85,3.98,2899.84,Northern Tobacco (Pvt) Ltd,0.0,729.1,172.4,L4,2706.6,0,0.311625
G02418,Manicaland,F,1829.31,1.79,1185.77,Cut Rag Processors,0.3,661.5,1020.6,A3,1407.7,1,0.744504
G02419,Manicaland,M,424.58,1.51,1237.71,Intercontinental Leaf Tobacco,0.5,820.5,281.5,C1,1345.5,1,0.211826
G02420,Mashonaland Central,M,100.0,3.0,2676.96,Premium Leaf Zimbabwe,0.2,890.9,33.3,H3,2740.6,0,0.017933
G02421,Matabeleland South,F,4836.24,6.22,10452.82,Tian Ze Tobacco,1.0,1680.6,777.6,T3,11249.5,1,0.85228
G02422,Mashonaland West,M,872.79,4.43,5839.61,Northern Tobacco (Pvt) Ltd,0.0,1317.1,196.9,X4,6613.8,0,0.047204
G02423,Manicaland,M,2390.41,6.95,2044.9,Universal Leaf / ZLT,0.5,294.4,344.1,A2,2219.4,1,0.537296
G02424,Mashonaland West,M,1067.78,2.57,2315.5,Shasha Tobacco (Pvt) Ltd,0.0,899.8,414.9,X5,2208.0,0,0.053079
G02425,Masvingo,F,297.95,0.72,696.26,Aqua Tobacco (Pvt) Ltd,0.5,966.6,413.6,X5,663.5,0,0.269525
G02426,Matabeleland South,M,9398.03,7.46,5428.74,Zimbabwe Leaf Tobacco (ZLT),0.1,727.9,1260.2,X1,6083.9,1,0.929193
G02427,Masvingo,F,2233.74,1.77,1318.54,Mashonaland Tobacco Company (MTC),0.7,743.3,1259.2,L1,1154.1,1,0.741207
G02428,Mashonaland West,F,1710.2,2.69,2475.0,Premium Leaf International,0.5,918.6,634.8,H2,2187.9,0,0.242735
G02429,Mashonaland Central,F,399.68,1.34,1147.78,Curverid Tobacco (Pvt) Ltd,1.0,857.8,298.7,X4,1245.5,0,0.491405
G02430,Masvingo,M,1916.04,5.99,7044.16,Intercontinental Leaf Tobacco,0.5,1176.5,320.0,L2,8286.2,0,0.237414
G02431,Mashonaland Central,F,1111.89,1.13,596.96,Intercontinental Leaf Tobacco,1.0,529.6,986.4,L3,606.0,0,0.655894
G02432,Masvingo,F,1907.9,5.93,8887.82,Shasha Tobacco (Pvt) Ltd,0.7,1499.3,321.8,A1,10626.3,1,0.401256
G02433,Mashonaland Central,F,3747.14,4.85,6725.15,Premium Leaf Zimbabwe,0.7,1386.4,772.5,T1,6191.1,1,0.517894
G02434,Matabeleland South,F,3647.32,3.87,2428.77,Mashonaland Tobacco Company (MTC),0.3,627.3,942.1,T1,2456.8,1,0.574736
G02435,Mashonaland Central,F,2297.57,6.26,7803.15,Northern Tobacco (Pvt) Ltd,0.7,1246.5,367.0,X5,7117.6,1,0.392579
G02436,Mashonaland Central,M,1642.37,0.51,405.63,Premium Leaf International,0.5,798.1,3231.3,A3,423.7,1,0.742937
G02437,Matabeleland South,F,10369.0,0.25,113.02,Aqua Tobacco (Pvt) Ltd,0.2,446.6,40969.0,X1,105.4,1,0.99
G02438,Masvingo,M,1807.43,1.91,1536.02,Intercontinental Leaf Tobacco,0.7,803.0,944.8,H1,1401.9,0,0.65358
G02439,Mashonaland Central,M,1881.44,1.02,594.41,Intercontinental Leaf Tobacco,0.1,584.1,1848.9,L1,642.5,0,0.583497
G02440,Matabeleland South,F,4158.96,1.9,1149.21,Tobacco Sales Company (TSC),0.1,603.4,2183.8,H1,1031.4,1,0.922768
G02441,Mashonaland West,F,4568.25,6.86,7719.63,Zimbabwe Leaf Tobacco (ZLT),0.3,1125.2,665.8,H3,6765.3,0,0.01
G02442,Masvingo,F,2788.02,4.01,2168.75,Aqua Tobacco (Pvt) Ltd,0.1,541.1,695.6,T2,2304.0,0,0.386355
G02443,Matabeleland South,F,448.57,3.52,3625.27,Premium Leaf International,1.0,1030.7,127.5,X2,3767.2,0,0.572645
G02444,Manicaland,M,730.64,1.99,1973.56,Premium Leaf Zimbabwe,0.1,993.0,367.6,C2,2238.2,0,0.115009
G02445,Mashonaland West,M,6733.38,3.32,2201.22,Tian Ze Tobacco,0.7,663.6,2030.1,X4,1781.6,1,0.936524
G02446,Mashonaland Central,M,2020.07,5.23,6735.16,Mashonaland Tobacco Company (MTC),0.0,1286.6,385.9,A3,6599.4,0,0.103374
G02447,Mashonaland West,F,4421.24,6.76,4474.17,Northern Tobacco (Pvt) Ltd,0.5,662.2,654.4,L3,4678.6,0,0.530152
G02448,Masvingo,F,10009.8,1.78,2900.37,Onhardt Tobacco (Pvt) Ltd,0.0,1633.7,5638.4,A2,3199.3,1,0.406091
G02449,Manicaland,M,112.58,6.67,2765.49,Premium Leaf International,1.0,414.9,16.9,X1,2489.0,1,0.89861
G02450,Matabeleland South,M,4233.74,9.54,8929.39,Cut Rag Processors,0.3,936.4,444.0,H2,10077.5,0,0.156161
G02451,Manicaland,M,1353.14,4.99,4369.51,Intercontinental Leaf Tobacco,0.1,875.4,271.1,L5,5151.4,0,0.021393
G02452,Mashonaland West,M,900.81,13.44,9804.76,Mashonaland Tobacco Company (MTC),1.0,729.6,67.0,A3,9681.2,0,0.680214
G02453,Mashonaland West,M,191.79,4.82,3192.25,Tian Ze Tobacco,0.2,661.9,39.8,H3,3812.8,0,0.145828
G02454,Mashonaland Central,F,10276.76,5.86,4801.34,Onhardt Tobacco (Pvt) Ltd,0.3,819.0,1753.0,C2,4798.0,1,0.631937
G02455,Mashonaland West,F,4208.23,1.62,2287.92,Onhardt Tobacco (Pvt) Ltd,0.0,1415.1,2602.8,L4,2008.6,1,0.441468
G02456,Manicaland,F,2121.54,6.1,8189.08,Universal Leaf / ZLT,0.7,1343.0,347.9,X2,9029.5,1,0.356009
G02457,Mashonaland Central,F,686.01,7.2,6050.06,Mashonaland Tobacco Company (MTC),0.3,840.1,95.3,L4,4941.4,0,0.01
G02458,Matabeleland South,F,2291.01,1.46,1473.86,Aqua Tobacco (Pvt) Ltd,1.0,1009.8,1569.6,T1,1203.4,0,0.779776
G02459,Mashonaland West,F,924.02,2.31,2265.57,Mashonaland Tobacco Company (MTC),0.5,978.7,399.2,H3,2138.8,0,0.287285
G02460,Mashonaland West,F,505.05,9.24,4327.19,Shasha Tobacco (Pvt) Ltd,0.0,468.2,54.6,T2,4048.8,1,0.646309
G02461,Masvingo,M,735.28,1.77,969.7,Curverid Tobacco (Pvt) Ltd,0.1,548.4,415.8,T3,806.6,0,0.475313
G02462,Mashonaland West,M,2863.28,1.61,999.31,Curverid Tobacco (Pvt) Ltd,0.5,621.6,1781.2,A3,1124.3,1,0.881854
G02463,Mashonaland West,M,2696.4,4.91,2304.6,Mashonaland Tobacco Company (MTC),0.2,469.2,548.9,A2,2402.8,1,0.590221
G02464,Masvingo,F,1581.83,7.13,4983.26,Aqua Tobacco (Pvt) Ltd,1.0,698.9,221.8,X1,5049.3,1,0.830566
G02465,Matabeleland South,F,118.36,3.48,3285.74,Premium Leaf International,0.1,943.5,34.0,B2,3465.6,0,0.306331
G02466,Manicaland,M,398.31,4.73,4658.79,Aqua Tobacco (Pvt) Ltd,0.7,985.6,84.3,H1,4301.6,0,0.396449
G02467,Mashonaland West,M,2847.45,1.44,1951.2,Mashonaland Tobacco Company (MTC),0.5,1351.6,1972.5,H2,1617.2,0,0.423011
G02468,Mashonaland Central,M,941.76,2.59,944.17,Universal Leaf / ZLT,0.7,364.7,363.8,A3,809.4,1,0.878637
G02469,Masvingo,M,1208.29,3.52,3115.61,Mashonaland Tobacco Company (MTC),0.5,884.0,342.8,C2,3304.0,0,0.347075
G02470,Mashonaland Central,M,1643.1,0.23,179.74,Cut Rag Processors,0.7,787.6,7200.3,X2,144.4,0,0.769676
G02471,Mashonaland Central,M,6349.13,1.32,1154.4,Onhardt Tobacco (Pvt) Ltd,0.1,876.3,4819.8,T2,1000.1,1,0.477195
G02472,Masvingo,M,152.14,3.04,3140.22,Onhardt Tobacco (Pvt) Ltd,0.2,1031.7,50.0,X3,3698.3,0,0.196623
G02473,Matabeleland South,F,1020.82,6.44,8156.3,Onhardt Tobacco (Pvt) Ltd,0.2,1267.3,158.6,L4,9266.5,0,0.290554
G02474,Mashonaland West,M,1487.53,3.66,1714.39,Aqua Tobacco (Pvt) Ltd,0.2,468.6,406.6,L4,1522.1,0,0.497153
G02475,Mashonaland West,F,5624.03,2.82,3491.15,Tian Ze Tobacco,0.5,1239.1,1996.0,A3,3993.6,1,0.473151
G02476,Mashonaland West,M,503.1,2.52,2828.91,Onhardt Tobacco (Pvt) Ltd,0.5,1124.7,200.0,T3,2813.1,0,0.198707
G02477,Matabeleland South,F,407.53,1.62,2526.68,Aqua Tobacco (Pvt) Ltd,0.2,1560.9,251.8,H2,2753.4,1,0.273539
G02478,Manicaland,M,622.36,6.71,3302.8,Premium Leaf International,0.2,492.0,92.7,X3,3099.5,0,0.423563
G02479,Mashonaland Central,M,6333.26,7.32,4594.57,Mashonaland Tobacco Company (MTC),0.1,627.5,865.0,X1,4494.8,1,0.380143
G02480,Mashonaland Central,M,1383.64,2.25,1122.18,Cut Rag Processors,1.0,499.2,615.5,A3,1089.5,1,0.977683
G02481,Masvingo,M,13508.74,1.38,1662.75,Cut Rag Processors,1.0,1202.6,9770.0,L1,1455.7,1,0.798661
G02482,Matabeleland South,F,25380.28,2.06,376.88,Onhardt Tobacco (Pvt) Ltd,0.0,183.1,12331.2,A3,344.4,1,0.920191
G02483,Matabeleland South,M,5701.89,9.35,9504.05,Tobacco Sales Company (TSC),0.1,1016.1,609.6,X5,9430.6,1,0.212361
G02484,Manicaland,M,493.55,3.67,3361.33,Premium Leaf Zimbabwe,0.5,916.8,134.6,T1,3968.8,0,0.340922
G02485,Manicaland,M,651.66,7.83,11883.69,Mashonaland Tobacco Company (MTC),0.7,1518.2,83.3,H2,12620.6,1,0.418302
G02486,Masvingo,M,804.26,1.43,1713.54,Cut Rag Processors,0.2,1199.5,563.0,T3,1916.9,0,0.229501
G02487,Matabeleland South,M,604.39,2.68,1365.29,Universal Leaf / ZLT,0.3,508.6,225.1,H3,1293.6,0,0.618796
G02488,Mashonaland West,M,5069.38,1.76,550.49,Aqua Tobacco (Pvt) Ltd,0.7,313.2,2884.1,T2,498.6,1,0.966455
G02489,Masvingo,M,579.9,7.24,5141.64,Onhardt Tobacco (Pvt) Ltd,0.1,710.3,80.1,B2,4553.7,0,0.233053
G02490,Mashonaland Central,F,7892.69,1.44,1055.55,Aqua Tobacco (Pvt) Ltd,0.1,732.3,5475.6,L3,1244.7,0,0.609123
G02491,Matabeleland South,M,6559.49,5.24,9505.64,Aqua Tobacco (Pvt) Ltd,1.0,1813.3,1251.3,H3,10140.1,0,0.839918
G02492,Matabeleland South,M,3331.36,2.03,2646.56,Tian Ze Tobacco,0.0,1300.8,1637.4,X3,3032.4,0,0.584493
G02493,Masvingo,F,2263.49,0.25,363.43,Aqua Tobacco (Pvt) Ltd,0.2,1463.9,9117.2,T1,378.5,1,0.570627
G02494,Mashonaland Central,M,2667.75,7.74,6612.19,Tobacco Sales Company (TSC),0.0,853.8,344.5,A2,6000.0,0,0.062907
G02495,Masvingo,F,459.87,2.33,2776.17,Northern Tobacco (Pvt) Ltd,0.5,1193.0,197.6,T2,2355.1,1,0.211404
G02496,Mashonaland West,F,1375.86,2.12,1472.43,Northern Tobacco (Pvt) Ltd,1.0,694.9,649.3,T1,1286.8,1,0.481509
G02497,Masvingo,F,2096.02,1.8,1039.97,Tobacco Sales Company (TSC),0.3,579.0,1167.0,L4,1104.0,1,0.824631
G02498,Mashonaland West,F,1097.57,12.12,15034.38,Zimbabwe Leaf Tobacco (ZLT),0.5,1240.8,90.6,L4,15458.3,0,0.074831
G02499,Masvingo,M,6878.58,4.38,3913.58,Premium Leaf Zimbabwe,0.2,894.3,1571.8,L4,3343.9,0,0.427449
G02500,Manicaland,M,3216.17,3.74,2207.94,Northern Tobacco (Pvt) Ltd,0.5,589.8,859.2,B1,2094.4,0,0.551861
G02501,Manicaland,F,263.25,4.44,1115.48,Zimbabwe Leaf Tobacco (ZLT),0.0,251.3,59.3,T3,1116.8,1,0.474354
G02502,Manicaland,F,222.32,8.15,9008.53,Tian Ze Tobacco,0.5,1105.0,27.3,L4,10700.1,1,0.246533
G02503,Matabeleland South,M,1945.19,5.94,5732.96,Premium Leaf International,0.7,965.3,327.5,H3,6849.5,0,0.453097
G02504,Masvingo,M,679.22,5.9,11382.61,Shasha Tobacco (Pvt) Ltd,0.2,1929.7,115.1,X1,10122.6,0,0.032906
G02505,Manicaland,M,2499.96,3.02,2330.51,Aqua Tobacco (Pvt) Ltd,0.1,771.1,827.2,L5,2601.9,1,0.237554
G02506,Masvingo,F,7234.05,5.63,6401.31,Tobacco Sales Company (TSC),0.3,1136.1,1283.9,A1,5880.8,1,0.274588
G02507,Mashonaland Central,F,1748.68,3.76,2192.11,Intercontinental Leaf Tobacco,0.2,582.6,464.8,A2,2193.2,0,0.34602
G02508,Manicaland,M,4993.4,0.55,668.8,Curverid Tobacco (Pvt) Ltd,1.0,1208.8,9025.4,C1,707.5,1,0.611329
G02509,Mashonaland Central,F,1577.27,3.12,452.21,Shasha Tobacco (Pvt) Ltd,0.0,144.7,504.8,L2,449.6,1,0.618426
G02510,Masvingo,M,1995.13,3.09,4774.89,Northern Tobacco (Pvt) Ltd,0.5,1547.3,646.5,X4,4880.7,0,0.468677
G02511,Mashonaland Central,F,735.04,10.19,4066.23,Tian Ze Tobacco,0.7,398.9,72.1,L3,3833.6,1,0.786585
G02512,Mashonaland Central,M,1252.19,2.05,2639.72,Premium Leaf International,1.0,1287.7,610.9,A2,2971.2,1,0.664322
G02513,Mashonaland Central,M,463.12,5.63,1730.34,Premium Leaf Zimbabwe,0.0,307.3,82.3,L4,1827.5,0,0.503928
G02514,Mashonaland West,M,5549.66,2.93,1044.66,Premium Leaf Zimbabwe,0.2,357.0,1896.7,T1,1113.0,0,0.766973
G02515,Mashonaland West,M,5974.14,2.59,1158.45,Aqua Tobacco (Pvt) Ltd,1.0,447.1,2305.9,X1,981.0,1,0.99
G02516,Matabeleland South,M,2578.05,5.48,9148.71,Premium Leaf Zimbabwe,0.5,1669.7,470.5,L3,9229.4,1,0.345568
G02517,Masvingo,F,14508.07,0.29,265.19,Curverid Tobacco (Pvt) Ltd,0.1,920.9,50379.8,X1,268.8,1,0.486784
G02518,Manicaland,M,706.93,1.94,2237.08,Tian Ze Tobacco,0.1,1153.4,364.5,H1,2160.4,0,0.122183
G02519,Mashonaland West,M,8033.54,0.35,472.69,Aqua Tobacco (Pvt) Ltd,0.7,1355.3,23033.6,C2,554.3,1,0.698313
G02520,Mashonaland Central,M,217.32,1.53,440.58,Premium Leaf Zimbabwe,0.7,288.4,142.3,H2,501.6,1,0.774881
G02521,Masvingo,F,1444.29,1.09,275.11,Premium Leaf International,0.1,251.3,1319.5,B2,298.1,1,0.868936
G02522,Manicaland,F,1519.81,7.53,8635.62,Mashonaland Tobacco Company (MTC),1.0,1146.4,201.8,H3,8746.0,0,0.369674
G02523,Masvingo,M,121.15,5.32,919.18,Cut Rag Processors,0.5,172.6,22.8,T1,921.2,1,0.538094
G02524,Masvingo,F,1842.64,2.25,1371.33,Intercontinental Leaf Tobacco,0.2,608.7,817.9,L2,1279.3,0,0.498445
G02525,Mashonaland West,F,5062.53,4.01,1416.97,Universal Leaf / ZLT,0.0,353.2,1261.7,T2,1483.1,1,0.900121
G02526,Manicaland,M,527.12,3.97,1507.16,Universal Leaf / ZLT,0.0,379.8,132.8,L2,1720.4,1,0.593243
G02527,Matabeleland South,M,1724.62,5.03,4745.56,Zimbabwe Leaf Tobacco (ZLT),0.1,942.6,342.6,L5,5071.2,0,0.222536
G02528,Manicaland,F,282.05,2.09,2250.93,Intercontinental Leaf Tobacco,0.5,1075.4,134.7,X2,2432.0,0,0.274092
G02529,Mashonaland Central,F,2766.79,1.64,1203.07,Northern Tobacco (Pvt) Ltd,0.1,732.3,1684.0,T3,1014.5,0,0.575974
G02530,Manicaland,F,411.5,3.59,3176.47,Intercontinental Leaf Tobacco,0.3,883.9,114.5,B1,3300.4,0,0.02599
G02531,Masvingo,F,396.09,3.59,4226.11,Premium Leaf International,0.1,1176.2,110.2,L2,4291.8,0,0.140036
G02532,Matabeleland South,F,387.93,2.4,1730.34,Cut Rag Processors,0.0,721.0,161.6,X2,1826.2,1,0.529433
G02533,Masvingo,M,978.65,0.71,864.1,Curverid Tobacco (Pvt) Ltd,0.5,1224.2,1386.5,X5,833.8,1,0.711455
G02534,Mashonaland West,F,1384.14,1.97,1962.73,Zimbabwe Leaf Tobacco (ZLT),0.1,995.1,701.8,A2,1713.2,0,0.236539
G02535,Mashonaland West,M,3272.85,2.8,2326.57,Shasha Tobacco (Pvt) Ltd,0.7,829.8,1167.2,L1,1961.3,1,0.825281
G02536,Masvingo,F,1551.35,6.65,3010.76,Cut Rag Processors,0.3,452.9,233.4,H1,3521.5,0,0.587702
G02537,Mashonaland Central,F,8176.16,2.07,532.81,Intercontinental Leaf Tobacco,0.0,258.0,3959.0,T3,435.8,1,0.761003
G02538,Matabeleland South,M,2209.16,2.69,1075.09,Tobacco Sales Company (TSC),0.1,399.6,821.2,L5,1208.2,1,0.889626
G02539,Mashonaland Central,F,893.22,7.84,4860.35,Tian Ze Tobacco,0.3,619.6,113.9,L3,4040.1,0,0.313095
G02540,Mashonaland West,M,5204.12,4.15,4155.48,Premium Leaf Zimbabwe,0.5,1002.4,1255.4,X3,4640.1,0,0.485317
G02541,Masvingo,F,843.6,1.16,452.56,Mashonaland Tobacco Company (MTC),0.5,391.0,728.9,L4,517.4,1,0.99
G02542,Matabeleland South,F,1833.49,6.12,10912.92,Zimbabwe Leaf Tobacco (ZLT),0.2,1784.1,299.7,X2,12353.4,0,0.135258
G02543,Manicaland,F,215.69,1.46,1239.43,Shasha Tobacco (Pvt) Ltd,0.5,848.5,147.7,A1,1254.1,1,0.390354
G02544,Matabeleland South,M,6489.69,1.06,121.99,Premium Leaf International,0.0,115.1,6121.1,A1,101.1,1,0.893312
G02545,Mashonaland West,M,2178.44,2.48,1750.6,Premium Leaf International,1.0,706.6,879.3,L3,1905.2,1,0.61016
G02546,Mashonaland Central,F,621.02,2.2,1510.42,Intercontinental Leaf Tobacco,0.5,687.1,282.5,H1,1334.1,0,0.483272
G02547,Mashonaland West,F,18596.38,7.17,3394.47,Curverid Tobacco (Pvt) Ltd,0.3,473.6,2594.3,A3,3655.1,1,0.844361
G02548,Manicaland,M,928.11,1.85,390.43,Aqua Tobacco (Pvt) Ltd,0.5,211.6,503.0,T2,318.6,1,0.779356
G02549,Manicaland,M,6370.78,6.77,9929.29,Cut Rag Processors,0.7,1466.0,940.6,X1,8739.2,0,0.411399
G02550,Manicaland,F,644.97,1.64,2109.03,Intercontinental Leaf Tobacco,0.5,1284.5,392.8,B1,1784.3,0,0.191964
G02551,Mashonaland Central,M,3725.17,2.12,613.54,Curverid Tobacco (Pvt) Ltd,0.2,289.7,1758.9,A3,612.6,1,0.650553
G02552,Mashonaland West,F,6730.91,13.56,1853.97,Curverid Tobacco (Pvt) Ltd,0.7,136.7,496.5,X3,1857.1,1,0.940927
G02553,Matabeleland South,F,1189.44,9.13,4771.99,Tian Ze Tobacco,0.5,522.6,130.3,L3,4960.5,1,0.740866
G02554,Matabeleland South,M,884.93,5.07,9301.88,Shasha Tobacco (Pvt) Ltd,0.0,1834.0,174.5,A2,9086.8,0,0.369919
G02555,Manicaland,M,4085.79,5.09,2436.36,Tobacco Sales Company (TSC),1.0,478.4,802.3,T2,2020.2,1,0.777275
G02556,Mashonaland West,F,717.53,1.39,456.67,Aqua Tobacco (Pvt) Ltd,1.0,327.6,514.7,X3,532.0,1,0.894766
G02557,Manicaland,F,597.05,6.19,1194.06,Premium Leaf International,0.5,192.9,96.5,L2,1277.0,0,0.610385
G02558,Mashonaland Central,M,1466.19,2.1,3311.8,Northern Tobacco (Pvt) Ltd,0.7,1573.9,696.8,C1,3447.9,0,0.31143
G02559,Mashonaland Central,F,357.14,7.6,3547.9,Onhardt Tobacco (Pvt) Ltd,0.5,466.9,47.0,C2,3275.0,1,0.630214
G02560,Mashonaland West,F,11932.44,3.55,3846.85,Tian Ze Tobacco,0.3,1085.1,3365.7,L2,3607.9,1,0.321349
G02561,Manicaland,M,865.47,13.51,2713.02,Northern Tobacco (Pvt) Ltd,0.0,200.8,64.1,T1,2477.3,0,0.382891
G02562,Manicaland,F,2126.3,7.4,4722.93,Northern Tobacco (Pvt) Ltd,0.7,638.4,287.4,X2,4469.5,1,0.681011
G02563,Matabeleland South,M,861.55,0.91,333.95,Cut Rag Processors,0.0,368.8,951.5,L5,342.7,1,0.73028
G02564,Manicaland,F,1948.84,3.54,3760.07,Tobacco Sales Company (TSC),0.2,1061.5,550.1,X2,4383.1,0,0.01
G02565,Mashonaland Central,M,846.79,1.35,1359.49,Northern Tobacco (Pvt) Ltd,0.2,1007.0,627.3,T3,1178.6,1,0.165871
G02566,Masvingo,M,8493.31,3.16,2037.85,Mashonaland Tobacco Company (MTC),0.3,645.8,2691.4,B1,2148.8,0,0.670039
G02567,Matabeleland South,F,2094.96,1.85,1337.74,Intercontinental Leaf Tobacco,0.0,724.8,1135.1,A3,1094.1,1,0.802974
G02568,Mashonaland West,M,2448.87,0.17,19.59,Tian Ze Tobacco,0.5,117.2,14651.2,L3,22.6,1,0.874283
G02569,Manicaland,M,5787.55,2.18,3231.72,Northern Tobacco (Pvt) Ltd,0.2,1485.4,2660.2,A3,3861.5,0,0.334419
G02570,Mashonaland Central,M,413.56,5.96,6020.61,Mashonaland Tobacco Company (MTC),0.0,1010.7,69.4,X3,6241.9,1,0.17414
G02571,Mashonaland Central,F,34966.42,6.84,7359.89,Premium Leaf International,0.2,1076.6,5114.8,T2,6710.0,1,0.272887
G02572,Mashonaland West,M,6447.83,4.86,5608.11,Premium Leaf Zimbabwe,0.3,1154.0,1326.8,B1,5570.6,1,0.578572
G02573,Matabeleland South,F,2409.83,2.47,2283.12,Northern Tobacco (Pvt) Ltd,0.7,926.2,977.6,X5,2314.4,1,0.61574
G02574,Matabeleland South,M,100.0,0.78,607.68,Premium Leaf Zimbabwe,0.2,781.2,128.6,A3,658.1,0,0.490956
G02575,Mashonaland Central,F,2720.94,3.96,1828.7,Universal Leaf / ZLT,0.2,461.5,686.6,L5,1725.5,0,0.695128
G02576,Mashonaland West,F,5670.6,5.03,3218.56,Mashonaland Tobacco Company (MTC),0.2,640.3,1128.1,B1,3024.8,0,0.558817
G02577,Mashonaland Central,F,100.0,2.45,2670.94,Mashonaland Tobacco Company (MTC),0.3,1089.6,40.8,X1,2456.3,0,0.122088
G02578,Manicaland,M,1343.88,0.95,696.81,Curverid Tobacco (Pvt) Ltd,0.0,735.1,1417.7,X5,585.8,1,0.657742
G02579,Matabeleland South,F,14169.17,5.11,4243.9,Universal Leaf / ZLT,0.7,831.1,2774.8,C2,5074.2,1,0.99
G02580,Manicaland,F,3260.04,4.62,4626.03,Tian Ze Tobacco,0.5,1001.4,705.7,A3,4642.4,1,0.214585
G02581,Matabeleland South,M,3308.35,3.93,2437.13,Northern Tobacco (Pvt) Ltd,0.3,620.4,842.2,L4,2655.7,0,0.485256
G02582,Mashonaland West,F,119.03,0.1,85.73,Intercontinental Leaf Tobacco,0.1,857.3,1190.3,B1,89.4,0,0.32708
G02583,Masvingo,M,5584.55,2.46,1883.76,Premium Leaf International,0.3,764.5,2266.5,X2,2164.2,0,0.727658
G02584,Mashonaland Central,F,2929.87,1.28,1175.4,Tobacco Sales Company (TSC),0.1,921.5,2297.0,B2,1111.7,1,0.519057
G02585,Mashonaland West,M,6554.31,2.43,1944.54,Northern Tobacco (Pvt) Ltd,0.2,800.6,2698.5,X4,1782.7,0,0.430674
G02586,Mashonaland West,F,1726.08,0.8,512.33,Premium Leaf International,1.0,637.6,2148.0,L1,552.3,1,0.897748
G02587,Mashonaland West,F,32478.23,7.45,6382.81,Aqua Tobacco (Pvt) Ltd,0.5,856.2,4356.7,L3,7001.9,0,0.599932
G02588,Mashonaland Central,M,2892.28,7.2,8427.05,Tian Ze Tobacco,0.0,1171.1,401.9,B1,8314.1,1,0.042005
G02589,Matabeleland South,F,4130.73,3.65,1056.43,Northern Tobacco (Pvt) Ltd,0.1,289.8,1133.2,X1,1019.0,1,0.930104
G02590,Masvingo,F,1209.08,2.76,3125.0,Mashonaland Tobacco Company (MTC),0.5,1133.1,438.4,T1,2802.9,0,0.356926
G02591,Mashonaland Central,M,204.94,1.59,1389.75,Aqua Tobacco (Pvt) Ltd,0.0,872.6,128.7,X5,1456.1,0,0.211187
G02592,Matabeleland South,F,3944.7,6.8,5827.24,Tobacco Sales Company (TSC),0.7,856.6,579.9,A3,4722.0,1,0.775092
G02593,Manicaland,M,4740.32,3.14,2426.83,Universal Leaf / ZLT,1.0,772.6,1509.2,X4,2273.2,1,0.894315
G02594,Mashonaland Central,F,505.13,9.92,10888.67,Tobacco Sales Company (TSC),0.3,1097.6,50.9,L5,10239.0,0,0.076554
G02595,Masvingo,M,1472.67,0.93,662.81,Curverid Tobacco (Pvt) Ltd,0.1,710.0,1577.5,B2,549.8,0,0.534404
G02596,Mashonaland West,M,188.28,3.72,2046.26,Premium Leaf Zimbabwe,0.5,549.9,50.6,X3,1952.8,1,0.469289
G02597,Mashonaland Central,M,8547.9,2.08,2185.44,Intercontinental Leaf Tobacco,0.3,1050.4,4108.2,L3,1782.5,1,0.59291
G02598,Masvingo,F,7178.74,2.04,966.57,Premium Leaf Zimbabwe,0.5,473.7,3518.1,X3,836.7,1,0.939562
G02599,Mashonaland West,M,896.35,0.89,818.09,Shasha Tobacco (Pvt) Ltd,0.7,917.0,1004.8,B1,667.5,1,0.864123
G02600,Matabeleland South,F,3279.54,1.49,641.03,Tobacco Sales Company (TSC),0.5,430.0,2200.0,L3,690.6,1,0.99
G02601,Matabeleland South,F,7396.48,1.83,1664.68,Tobacco Sales Company (TSC),0.7,912.1,4052.6,X1,1470.3,1,0.814067
G02602,Mashonaland West,F,2684.32,6.51,7208.17,Onhardt Tobacco (Pvt) Ltd,0.7,1107.9,412.6,L4,6519.2,0,0.36778
G02603,Matabeleland South,F,2930.25,1.28,1461.3,Tian Ze Tobacco,0.5,1138.9,2283.8,L5,1669.4,1,0.680803
G02604,Manicaland,F,4265.46,2.91,3059.98,Universal Leaf / ZLT,0.5,1052.7,1467.5,B1,2774.2,1,0.480109
G02605,Mashonaland West,M,555.31,0.64,561.97,Mashonaland Tobacco Company (MTC),0.3,872.3,861.9,H1,660.5,0,0.050032
G02606,Manicaland,F,7803.11,2.09,1352.99,Cut Rag Processors,0.1,648.7,3741.5,H2,1240.4,0,0.720007
G02607,Masvingo,M,1345.03,4.51,2684.36,Tian Ze Tobacco,0.3,595.9,298.6,H3,2212.8,1,0.497715
G02608,Masvingo,F,5038.95,5.85,7404.26,Onhardt Tobacco (Pvt) Ltd,1.0,1264.9,860.8,T3,6365.8,1,0.634914
G02609,Masvingo,M,8960.51,9.72,4541.31,Cut Rag Processors,0.7,467.4,922.3,B1,4301.7,1,0.99
G02610,Matabeleland South,F,997.93,3.93,1229.97,Curverid Tobacco (Pvt) Ltd,0.2,312.7,253.7,H3,1129.6,1,0.735929
G02611,Mashonaland Central,F,1623.08,3.65,5034.02,Northern Tobacco (Pvt) Ltd,0.5,1377.5,444.1,A2,5625.3,0,0.029301
